Object,Category,Description,Implemented,Priority,Notes,
$Common,Functions & Procedures,Share variables between main program and subprograms,No,5,EES directive for variable sharing,
$Private,Functions & Procedures,Hide variables from main variable list,No,3,EES directive for encapsulation,
External Functions (.DLF),Functions & Procedures,Call external DLL/shared-library functions,No,4,EES-specific DLL interface,
External Procedures (.DLP/.FDL),Functions & Procedures,Call external DLL/shared-library procedures,No,4,EES-specific DLL interface,
$Include,Functions & Procedures,Include external EES library file,No,4,File inclusion / library system,
Print,Functions & Procedures,Print output from procedures,No,3,EES built-in procedure,
Calling Python from EES,Functions & Procedures,Execute Python code from EES via $Python,No,4,EES-specific integration,
# --- Mathematical Functions: Trigonometric ---,,,,,,
SIN,Math — Trigonometric,Sine (input in degrees),Yes,1,src/autodiff_node.cpp — degrees convention with AD,
COS,Math — Trigonometric,Cosine (input in degrees),Yes,1,src/autodiff_node.cpp — degrees convention with AD,
TAN,Math — Trigonometric,Tangent (input in degrees),Yes,1,src/autodiff_node.cpp — degrees convention with AD,
ARCSIN,Math — Trigonometric,Inverse sine (output in degrees),Yes,1,src/autodiff_node.cpp — aliases: asin/arcsin,
ARCCOS,Math — Trigonometric,Inverse cosine (output in degrees),Yes,1,src/autodiff_node.cpp — aliases: acos/arccos,
ARCTAN,Math — Trigonometric,Inverse tangent (output in degrees),Yes,1,src/autodiff_node.cpp — aliases: atan/arctan,
ARCTAN2,Math — Trigonometric,"Two-argument arctangent atan2(y,x) (output in degrees)",Yes,1,src/autodiff_node.cpp — quadrant-aware,
# --- Mathematical Functions: Hyperbolic ---,,,,,,
SINH,Math — Hyperbolic,Hyperbolic sine,Yes,1,src/autodiff_node.cpp with AD,
COSH,Math — Hyperbolic,Hyperbolic cosine,Yes,1,src/autodiff_node.cpp with AD,
TANH,Math — Hyperbolic,Hyperbolic tangent,Yes,1,src/autodiff_node.cpp with AD,
ARCSINH,Math — Hyperbolic,Inverse hyperbolic sine,Yes,1,src/autodiff_node.h + .cpp — full AD with derivative 1/sqrt(x²+1),
ARCCOSH,Math — Hyperbolic,Inverse hyperbolic cosine,Yes,1,src/autodiff_node.h + .cpp — full AD with derivative 1/sqrt(x²-1),
ARCTANH,Math — Hyperbolic,Inverse hyperbolic tangent,Yes,1,src/autodiff_node.h + .cpp — full AD with derivative 1/(1-x²),
# --- Mathematical Functions: Logarithmic & Exponential ---,,,,,,
EXP,Math — Log/Exp,Natural exponential e^x,Yes,1,src/autodiff_node.cpp with AD,
LN,Math — Log/Exp,Natural logarithm,Yes,1,src/autodiff_node.cpp — aliases: ln/log,
LOG10,Math — Log/Exp,Base-10 logarithm,Yes,1,src/autodiff_node.cpp with AD,
SQRT,Math — Log/Exp,Square root,Yes,1,src/autodiff_node.cpp with AD,
# --- Mathematical Functions: Rounding & Sign ---,,,,,,
ABS,Math — Rounding,Absolute value,Yes,1,src/autodiff_node.cpp with AD,
CEIL,Math — Rounding,Ceiling (smallest integer >= x),Yes,1,src/autodiff_node.cpp — std::ceil with zero gradient,
FLOOR,Math — Rounding,Floor (largest integer <= x),Yes,1,src/autodiff_node.cpp — std::floor with zero gradient,
ROUND,Math — Rounding,Round to nearest integer (or specified decimals),Yes,1,src/autodiff_node.cpp — std::round with zero gradient,
TRUNC,Math — Rounding,Truncate toward zero,Yes,1,src/autodiff_node.cpp — std::trunc with zero gradient,
SIGN,Math — Rounding,Sign function: -1/0/+1,Yes,1,src/autodiff_node.cpp — returns -1/0/+1 with zero gradient,
MOD,Math — Rounding,"Modulo (remainder), MOD(a,b)",Yes,1,src/autodiff_node.cpp — std::fmod with zero gradient,
# --- Mathematical Functions: Power ---,,,,,,
POW,Math — Power,"Power function pow(x,y) = x^y",Yes,1,src/autodiff_node.cpp — equivalent to ^ operator,
# --- Mathematical Functions: Aggregation ---,,,,,,
MIN,Math — Aggregation,"Minimum of arguments min(a,b,...)",Yes,1,src/autodiff_node.cpp — variadic,
MAX,Math — Aggregation,"Maximum of arguments max(a,b,...)",Yes,1,src/autodiff_node.cpp — variadic,
SUM,Math — Aggregation,"Sum of array elements SUM(X[i], i=1,N)",Yes,1,src/autodiff_node.cpp — variadic sum with AD support,
SUM2D,Math — Aggregation,"2-D sum over array SUM2D(X[i,j], i=1,N, j=1,M)",Yes,1,src/autodiff_node.cpp — aliases to SUM (arrays are flattened),
AVERAGE,Math — Aggregation,Average of array elements,Yes,1,src/autodiff_node.cpp — variadic mean with AD support,
PRODUCT,Math — Aggregation,Product of array elements,Yes,1,src/autodiff_node.cpp — variadic product with AD support,
STDDEV,Math — Aggregation,Standard deviation of array elements,Yes,1,src/autodiff_node.cpp — population stddev with AD support,
# --- Mathematical Functions: Special ---,,,,,,
ERF,Math — Special,Error function erf(x),Yes,2,src/autodiff_node.cpp — full AD support,
ERFC,Math — Special,Complementary error function 1-erf(x),Yes,2,src/autodiff_node.cpp — full AD support,
GAMMA_,Math — Special,Gamma function Γ(x),No,3,Rarely used in typical models,
FACTORIAL,Math — Special,Factorial n!,No,3,Rarely used,
PROBABILITY,Math — Special,Normal distribution probability P(x<z),No,3,Statistical function,
CHI_SQUARE,Math — Special,Chi-square distribution,No,4,Statistical function,
STUDENTS_T,Math — Special,Student's t-distribution,No,4,Statistical function,
Heaviside,Math — Special,"Heaviside step function H(x): 0 if x<0, 1 if x>=0",No,3,Used in piecewise models,
STEP,Math — Special,"Step function STEP(x, x0): 0 if x<x0, 1 otherwise",No,3,Variant of Heaviside,
SQUAREWAVE,Math — Special,"Square wave function, not in EES math list but referenced",No,4,Rarely used,
# --- Mathematical Functions: Bessel ---,,,,,,
BESSEL_I0,Math — Bessel,Modified Bessel function of the 1st kind order 0,No,3,Heat transfer in cylindrical geometries,
BESSEL_I1,Math — Bessel,Modified Bessel function of the 1st kind order 1,No,3,,
BESSEL_J0,Math — Bessel,Bessel function of the 1st kind order 0,No,3,,
BESSEL_J1,Math — Bessel,Bessel function of the 1st kind order 1,No,3,,
BESSEL_K0,Math — Bessel,Modified Bessel function of the 2nd kind order 0,No,3,,
BESSEL_K1,Math — Bessel,Modified Bessel function of the 2nd kind order 1,No,3,,
BESSEL_Y0,Math — Bessel,Bessel function of the 2nd kind order 0,No,3,,
BESSEL_Y1,Math — Bessel,Bessel function of the 2nd kind order 1,No,3,,
BESSELI,Math — Bessel,"Modified Bessel 1st kind, general order BESSELI(n,x)",No,3,,
BESSELJ,Math — Bessel,"Bessel 1st kind, general order BESSELJ(n,x)",No,3,,
BESSELK,Math — Bessel,"Modified Bessel 2nd kind, general order BESSELK(n,x)",No,3,,
BESSELY,Math — Bessel,"Bessel 2nd kind, general order BESSELY(n,x)",No,3,,
# --- Mathematical Functions: Complex Numbers ---,,,,,,
REAL,Math — Complex,Real part of complex number,No,3,$Complex ON required in EES,
IMAG,Math — Complex,Imaginary part of complex number,No,3,,
CONJ,Math — Complex,Complex conjugate,No,3,,
MAGNITUDE,Math — Complex,Complex magnitude |z|,No,3,,
CIS,Math — Complex,cis(θ) = cos(θ) + i·sin(θ),No,3,,
ANGLE,Math — Complex,Angle/argument of complex number,No,3,,
ANGLEDEG,Math — Complex,Angle in degrees,No,3,,
ANGLERAD,Math — Complex,Angle in radians,No,3,,
$Complex ON/OFF,Math — Complex,Enable/disable complex number mode,No,3,EES directive,
# --- Mathematical Functions: Random ---,,,,,,
RANDOM,Math — Random,"Uniform random number in [0,1)",No,3,,
RANDG,Math — Random,"Gaussian random with mean,stddev",No,3,,
# --- Mathematical Functions: Conversion ---,,,,,,
CONVERT,Math — Conversion,"Unit conversion CONVERT('from','to'), e.g. CONVERT(kJ,BTU)",Yes,1,src/evaluator.cpp — tries all UnitTypes to find conversion factor,
CONVERTTEMP,Math — Conversion,"Temperature conversion CONVERTTEMP('from','to',value)",Yes,1,src/evaluator.cpp — converts via UnitConverter toSI/fromSI,
UNITSYSTEM,Math — Conversion,Returns current unit system setting as a number,No,3,Used for unit-aware calculations,
# --- Mathematical Functions: Interpolation ---,,,,,,
INTERPOLATE,Math — Interpolation,"Interpolate in a Lookup table: INTERPOLATE('table','col1','col2',val)",No,3,Requires Lookup table support,
INTERPOLATE1,Math — Interpolation,1-D interpolation variant,No,3,,
INTERPOLATE2,Math — Interpolation,2-D interpolation variant,No,3,,
INTERPOLATE2DM,Math — Interpolation,2-D matrix interpolation,No,3,,
# --- Mathematical Functions: Differentiation ---,,,,,,
DIFFERENTIATE,Math — Differentiation,Numerical differentiation from table data,No,3,,
DIFFERENTIATE1,Math — Differentiation,1-D differentiation variant,No,3,,
DIFFERENTIATE2,Math — Differentiation,2-D differentiation variant,No,3,,
# --- Mathematical Functions: Integration ---,,,,,,
INTEGRAL,Math — Integration,"Numerical integration: INTEGRAL(expr, var, start, stop)",No,4,Used for transient/dynamic EES models,
INTEGRALVALUE,Math — Integration,Retrieve stored integral value,No,4,,
# --- Mathematical Functions: Curve Fitting ---,,,,,,
CURVEFIT1D,Math — Curve Fitting,1-D curve fit to Lookup table data,No,3,,
CURVEFIT1DT,Math — Curve Fitting,1-D curve fit with table specification,No,3,,
LinearRegression,Math — Curve Fitting,Linear regression on data,No,3,,
# --- Mathematical Functions: Lookup Table ---,,,,,,
LOOKUP,Math — Lookup Table,Look up a value from a Lookup table by row and column,No,3,Requires Lookup table infrastructure,
LOOKUP$,Math — Lookup Table,Look up a string value from Lookup table,No,3,,
LOOKUP$ROW,Math — Lookup Table,Look up row by string match,No,3,,
LOOKUPCOL,Math — Lookup Table,Look up column number by name,No,3,,
LOOKUPCOL1,Math — Lookup Table,Look up column number variant,No,3,,
LOOKUPCOLNAME$,Math — Lookup Table,Get column name from Lookup table,No,3,,
LOOKCOLNUMBER,Math — Lookup Table,Get column number,No,3,,
LOOKUPCELLEMPTY,Math — Lookup Table,Check if Lookup cell is empty,No,3,,
TABLEVALUE,Math — Lookup Table,Get/set value in Parametric or Lookup table,No,3,,
NLOOKUPROWS,Math — Lookup Table,Number of rows in Lookup table,No,3,,
NLOOKUPCOLUMNS,Math — Lookup Table,Number of columns in Lookup table,No,3,,
SUMLOOKUP,Math — Lookup Table,Sum of a Lookup table column,No,3,,
AVGLOOKUP,Math — Lookup Table,Average of a Lookup table column,No,3,,
MAXLOOKUP,Math — Lookup Table,Maximum of a Lookup table column,No,3,,
MINLOOKUP,Math — Lookup Table,Minimum of a Lookup table column,No,3,,
STDDEVLOOKUP,Math — Lookup Table,Standard deviation of a Lookup table column,No,4,,
# --- Mathematical Functions: Parametric Table ---,,,,,,
SUMPARAMETRIC,Math — Parametric Table,Sum of a Parametric table column,No,3,,
AVGPARAMETRIC,Math — Parametric Table,Average of a Parametric table column,No,3,,
MAXPARAMETRIC,Math — Parametric Table,Maximum of a Parametric table column,No,3,,
MINPARAMETRIC,Math — Parametric Table,Minimum of a Parametric table column,No,3,,
STDDEVPARAMETRIC,Math — Parametric Table,Standard deviation of a Parametric table column,No,4,,
NPARAMETRICROWS,Math — Parametric Table,Number of rows in Parametric table,No,3,,
NPARAMETRICCOLUMNS,Math — Parametric Table,Number of columns in Parametric table,No,3,,
# --- Mathematical Functions: Array Info ---,,,,,,
NARRAYROWS,Math — Array,Number of rows in an array,No,3,Useful with DUPLICATE,
NARRAYCOLUMNS,Math — Array,Number of columns in an array,No,3,,
# --- Mathematical Functions: Vectors ---,,,,,,
VectorAssign,Math — Vector,Assign components to a 3-D vector,No,4,EES $Vector system,
VectorAssignPolar,Math — Vector,Assign polar/spherical components,No,4,,
VectorAngle_x,Math — Vector,Angle of vector with x-axis,No,4,,
VectorAngle_y,Math — Vector,Angle of vector with y-axis,No,4,,
VectorAngle_z,Math — Vector,Angle of vector with z-axis,No,4,,
VectorCross,Math — Vector,Cross product of two vectors,No,4,,
VectorCross_i,Math — Vector,i-component of cross product,No,4,,
VectorCross_j,Math — Vector,j-component of cross product,No,4,,
VectorCross_k,Math — Vector,k-component of cross product,No,4,,
VectorDot,Math — Vector,Dot product of two vectors,No,4,,
VectorMag,Math — Vector,Magnitude of a vector,No,4,,
VectorUnit_i,Math — Vector,i-component of unit vector,No,4,,
VectorUnit_j,Math — Vector,j-component of unit vector,No,4,,
VectorUnit_k,Math — Vector,k-component of unit vector,No,4,,
VectorZeros,Math — Vector,Zero vector,No,4,,
# --- Mathematical Functions: Miscellaneous ---,,,,,,
PI,Math — Misc,Pi constant (3.14159...),Yes,1,src/autodiff_node.cpp — returned as ADValue,
LMTD_F,Math — Misc,"Log-mean temperature difference LMTD = (DT1-DT2)/ln(DT1/DT2)",Yes,2,"src/autodiff_node.cpp — smooth limit at DT1=DT2, full AD",
BAROMETRICPRESSURE,Math — Misc,Barometric pressure at given altitude,No,3,,
LOOP#,Math — Misc,Current loop iteration number in Parametric table,No,3,,
TABLERUN#,Math — Misc,Current table run number,No,3,,
NFILEROWS,Math — Misc,Number of rows in a data file,No,3,,
FILEEXISTS,Math — Misc,Check whether a file exists (returns 0 or 1),No,4,,
UNCERTAINTYOF,Math — Misc,Propagated uncertainty of a variable,No,4,EES uncertainty analysis feature,
DIAGRAMHEIGHT#,Math — Misc,Height of the Diagram window in pixels,No,5,EES GUI-specific,
DIAGRAMWIDTH#,Math — Misc,Width of the Diagram window in pixels,No,5,EES GUI-specific,
PIXELSPERINCH#,Math — Misc,Screen resolution,No,5,EES GUI-specific,
GETDIAGRAMATTRIBUTE,Math — Misc,Get attribute of a Diagram window object,No,5,EES GUI-specific,
DATE,Math — Misc,Current date as a number,No,4,,
TIME,Math — Misc,Current time as a number,No,4,,
TIMESTAMP,Math — Misc,Current timestamp,No,4,,
NWINDOWTABS,Math — Misc,Number of window tabs,No,5,EES GUI-specific,
# --- Mathematical Functions: Plot ---,,,,,,
PLOTCOORD,Math — Plot,Get coordinates from a plot,No,5,EES GUI-specific,
PLOTSCALEMIN,Math — Plot,Minimum value of a plot axis,No,5,EES GUI-specific,
PLOTSCALEMAX,Math — Plot,Maximum value of a plot axis,No,5,EES GUI-specific,
POLARTORECT,Math — Plot,Convert polar to rectangular coordinates,No,4,,
RGB,Math — Plot,"RGB color value RGB(r,g,b)",No,5,EES GUI-specific,
# --- Mathematical Functions: Error/Warning ---,,,,,,
ERROR,Math — Error/Warning,Raise error and stop: ERROR 'message',No,2,Also listed under Procedures,
WARNING,Math — Error/Warning,Display warning: WARNING 'message',No,3,Also listed under Procedures,
# --- String Functions ---,,,,,,
CONCAT$,String Functions,"Concatenate strings: CONCAT$('a','b')",No,3,,
COPY$,String Functions,"Copy substring: COPY$(s$, start, count)",No,3,,
DELETE$,String Functions,"Delete substring: DELETE$(s$, start, count)",No,3,,
INSERT$,String Functions,"Insert string: INSERT$(source$, target$, pos)",No,3,,
REPLACE$,String Functions,"Replace substring: REPLACE$(s$, old$, new$)",No,3,,
TRIM$,String Functions,Remove leading/trailing whitespace,No,3,,
LOWERCASE$,String Functions,Convert to lowercase,No,3,,
UPPERCASE$,String Functions,Convert to uppercase,No,3,,
STRING$,String Functions,Convert number to string,Yes,2,src/evaluator.cpp — string-valued function handler,
STRINGVAL,String Functions,Convert string to number,Yes,2,src/evaluator.cpp — evaluateFunctionCall,
STRINGLEN,String Functions,Length of a string,No,3,,
STRINGPOS,String Functions,Position of substring in string,No,3,,
CHR$,String Functions,Character from ASCII code,No,4,,
DATE$,String Functions,Current date as string,No,4,,
DATETIME$,String Functions,Current date and time as string,No,4,,
TIME$,String Functions,Current time as string,No,4,,
TIMESTAMP$,String Functions,Current timestamp as string,No,4,,
EESFILEDIR$,String Functions,Directory of current EES file,No,4,EES-specific path function,
EESFILENAME$,String Functions,Name of current EES file,No,4,,
EESPROGRAMDIR$,String Functions,EES program installation directory,No,5,EES-specific,
SHORTFILENAME$,String Functions,Short (8.3) file name,No,5,Windows-specific,
UNITSOF$,String Functions,Get units string of a variable,No,3,,
UNITSYSTEM$,String Functions,Current unit system as string,No,3,,
FLUIDTYPE$,String Functions,Type of a fluid (real/ideal/incomp),No,3,,
PHASE$,String Functions,"Phase of fluid at given state (liquid, vapor, two-phase, etc.)",Yes,2,"src/evaluator.cpp — evaluateString handles PHASE$ via AbstractState::phase()"
LOOKUP$,String Functions,Look up string from Lookup table,No,3,Requires Lookup table,
LOOKUPCOLNAME$,String Functions,Get column name from Lookup table,No,3,,
LOOKUPCOLUNITS$,String Functions,Get column units from Lookup table,No,3,,
LOOKUPTABNAME$,String Functions,Get Lookup table name,No,3,,
LOOKUP$ROW,String Functions,Look up row by string key,No,3,,
TABLENAME$,String Functions,Get Parametric table name,No,4,,
TABLETABNAME$,String Functions,Get table tab name,No,4,,
PLOTTABNAME$,String Functions,Get plot tab name,No,5,EES GUI-specific,
CHANGEFILEDIR$,String Functions,Change directory part of file path,No,4,,
CHANGEFILEEXT$,String Functions,Change file extension,No,4,,
USERLIBDIR$,String Functions,User library directory path,No,5,EES-specific,
EES_REFPROP_DATE$,String Functions,Date of REFPROP data,No,5,REFPROP-specific,
# --- Thermophysical Functions: Core ---,,,,,,
ENTHALPY,Thermophysical,Specific enthalpy [J/kg],Yes,1,"src/evaluator.cpp — CoolProp HEOS backend, aliases: h",
ENTROPY,Thermophysical,Specific entropy [J/(kg·K)],Yes,1,"src/evaluator.cpp, aliases: s",
TEMPERATURE,Thermophysical,Temperature [K or °C],Yes,1,"src/evaluator.cpp, aliases: t",
PRESSURE,Thermophysical,Pressure [Pa],Yes,1,"src/evaluator.cpp, aliases: p",
DENSITY,Thermophysical,Mass density [kg/m³],Yes,1,"src/evaluator.cpp, aliases: rho, d",
VOLUME,Thermophysical,Specific volume [m³/kg] (= 1/density),Yes,1,"src/evaluator.cpp, aliases: v",
QUALITY,Thermophysical,"Vapor quality (mass fraction of vapor) [0,1]",Yes,1,"src/evaluator.cpp, aliases: x, q",
CP,Thermophysical,Constant-pressure specific heat [J/(kg·K)],Yes,1,"src/evaluator.cpp, aliases: specificheat, c_p",
CV,Thermophysical,Constant-volume specific heat [J/(kg·K)],Yes,1,"src/evaluator.cpp, aliases: c_v",
INTENERGY,Thermophysical,Specific internal energy [J/kg],Yes,1,"src/evaluator.cpp, aliases: u, internalenergy",
SPECHEAT,Thermophysical,Alias for CP,Yes,1,"src/evaluator.cpp, aliases: c",
# --- Thermophysical Functions: Transport ---,,,,,,
VISCOSITY,Thermophysical,Dynamic viscosity [Pa·s],Yes,1,"src/evaluator.cpp, aliases: mu",
CONDUCTIVITY,Thermophysical,Thermal conductivity [W/(m·K)],Yes,1,"src/evaluator.cpp, aliases: k, l",
PRANDTL,Thermophysical,Prandtl number (dimensionless),Yes,1,src/evaluator.cpp,
SOUNDSPEED,Thermophysical,Speed of sound [m/s],Yes,1,"src/evaluator.cpp, aliases: speed_of_sound, a",
KINEMATICVISCOSITY,Thermophysical,Kinematic viscosity ν = μ/ρ [m²/s],Yes,2,"src/evaluator.cpp — derived from viscosity/density in AD space"
THERMALDIFFUSIVITY,Thermophysical,Thermal diffusivity α = k/(ρ·cp) [m²/s],Yes,2,"src/evaluator.cpp — derived from k/(ρ·cp) in AD space"
# --- Thermophysical Functions: Surface ---,,,,,,
SURFACETENSION,Thermophysical,Surface tension [N/m],Yes,2,src/evaluator.cpp — CoolProp isurface_tension,
# --- Thermophysical Functions: Critical & Triple ---,,,,,,
T_CRIT,Thermophysical,Critical temperature [K],Yes,2,"src/evaluator.cpp — Props1SI(fluid,'Tcrit')"
P_CRIT,Thermophysical,Critical pressure [Pa],Yes,2,"src/evaluator.cpp — Props1SI(fluid,'Pcrit')"
V_CRIT,Thermophysical,Critical specific volume [m³/kg],Yes,2,"src/evaluator.cpp — 1/rhomass_critical"
T_TRIPLE,Thermophysical,Triple point temperature [K],Yes,2,"src/evaluator.cpp — Props1SI(fluid,'Ttriple')"
# --- Thermophysical Functions: Saturation ---,,,,,,
T_SAT,Thermophysical,Saturation temperature at given pressure,Yes,1,"src/evaluator.cpp, aliases: tsat",
P_SAT,Thermophysical,Saturation pressure at given temperature,Yes,1,"src/evaluator.cpp, aliases: psat",
T_MELTING,Thermophysical,Melting temperature at given pressure,Partial,3,Recognized in parser, limited CoolProp support
P_MELTING,Thermophysical,Melting pressure at given temperature,Partial,3,Recognized in parser,
P_SUBLIMATION,Thermophysical,Sublimation pressure at given temperature,Partial,3,Recognized in parser,
# --- Thermophysical Functions: Molar & Chemical ---,,,,,,
MOLARMASS,Thermophysical,Molar mass of fluid [kg/mol or g/mol],Yes,1,"src/evaluator.cpp, aliases: mm",
MOLARMASS_SOLN,Thermophysical,Molar mass of a solution,Partial,3,Recognized in parser,
ACENTRICFACTOR,Thermophysical,Acentric factor (Pitzer) (dimensionless),Partial,3,Recognized in parser, maps to CoolProp acentric
COMPRESSIBILITYFACTOR,Thermophysical,Compressibility factor Z = Pv/(RT),Yes,2,"src/evaluator.cpp — CoolProp iZ"
FUGACITY,Thermophysical,Fugacity [Pa],Partial,3,Recognized in parser,
ISENTROPICEXPONENT,Thermophysical,Isentropic exponent γ,Yes,2,"src/evaluator.cpp — CoolProp iisentropic_expansion_coefficient"
ISOTHERMALCOMPRESS,Thermophysical,Isothermal compressibility [1/Pa],Partial,3,Recognized in parser,
JOULETHOMSONCOEF,Thermophysical,Joule-Thomson coefficient [K/Pa],Partial,3,Recognized in parser,
VOLEXPCOEF,Thermophysical,Volume expansion coefficient [1/K],Partial,3,Recognized in parser,
DIPOLE,Thermophysical,Dipole moment [C·m],Partial,4,Recognized in parser,
# --- Thermophysical Functions: Energetic ---,,,,,,
ENTHALPY_FORMATION,Thermophysical,Enthalpy of formation [J/mol],Partial,3,Recognized in parser,
ENTHALPY_FUSION,Thermophysical,Enthalpy of fusion [J/kg],Partial,3,Recognized in parser,
ENTHALPY_VAPORIZATION,Thermophysical,Enthalpy of vaporization [J/kg],Partial,3,Recognized in parser,
HIGHERHEATINGVALUE,Thermophysical,Higher heating value [J/kg],Partial,3,Recognized in parser,
LOWERHEATINGVALUE,Thermophysical,Lower heating value [J/kg],Partial,3,Recognized in parser,
# --- Thermophysical Functions: Other ---,,,,,,
NORMALBOILINGPT,Thermophysical,Normal boiling point [K],Partial,3,Recognized in parser,
FREEZINGPT,Thermophysical,Freezing point [K],Partial,3,Recognized in parser,
GIBBSFREEENERGY,Thermophysical,Gibbs free energy [J/kg],Partial,3,Recognized in parser,
HELMHOLTZFREEENERGY,Thermophysical,Helmholtz free energy [J/kg],Partial,3,Recognized in parser, EES uses HelmholtzFreeEnergy
MASSFRACTION,Thermophysical,Mass fraction in mixture,Partial,3,Recognized in parser,
SATURATION%,Thermophysical,Saturation percentage,No,3,,
ISIDEALGAS,Thermophysical,Check if fluid is ideal gas (returns 0 or 1),No,3,,
IDEALGASTHERMOPROPS,Thermophysical,Force ideal gas property calculation,No,3,,
REALTHERMOPROPS,Thermophysical,Force real fluid property calculation,No,3,,
# --- Thermophysical Functions: Psychrometric ---,,,,,,
HUMRAT,Thermophysical,"Humidity ratio [kg_w/kg_da], requires 3 inputs",Yes,1,"src/evaluator.cpp — CoolProp HumidAir, aliases: w",
RELHUM,Thermophysical,"Relative humidity [0-1], requires 3 inputs",Yes,1,"src/evaluator.cpp, aliases: r",
WETBULB,Thermophysical,"Wet bulb temperature, requires 3 inputs",Yes,1,"src/evaluator.cpp, aliases: b",
